           organization_id            | dateint  | frequency_ms |     segment_id     | instance_num | slot_id | slot_count | record_count | file_size 
--------------------------------------+----------+--------------+--------------------+--------------+---------+------------+--------------+-----------
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301218563262251557 |           12 |       0 |          1 |          464 |     40355
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216819186764067 |           12 |       0 |          1 |          235 |     31957
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301218582723822117 |           12 |       0 |          1 |          229 |     31791
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216822743535307 |           12 |       0 |          1 |          235 |     32414
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216825847317021 |           12 |       0 |          1 |          228 |     31584
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216838061133328 |           12 |       0 |          1 |          235 |     32062
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217105859055030 |           15 |       0 |          1 |        47068 |   1558544
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216882973739247 |           12 |       0 |          1 |          457 |     38623
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216946089625839 |           12 |       0 |          1 |          228 |     31777
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217483161864431 |           12 |       0 |          1 |          457 |     38230
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217550102956271 |           12 |       0 |          1 |          235 |     31904
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216844000266531 |           12 |       0 |          1 |          229 |     31475
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216920202381603 |           12 |       0 |          1 |          229 |     31566
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216886194966219 |           12 |       0 |          1 |          235 |     31968
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301361548310349471 |           12 |       0 |          1 |          470 |     38403
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217555874316829 |           12 |       0 |          1 |          229 |     31937
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216906814164683 |           12 |       0 |          1 |          235 |     31863
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216849016652325 |           12 |       0 |          1 |          228 |     31661
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217632042880528 |           12 |       0 |          1 |          235 |     31995
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216873863709221 |           12 |       0 |          1 |          229 |     31615
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217599411195595 |           12 |       0 |          1 |          235 |     32395
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217617782247115 |           12 |       0 |          1 |          229 |     31809
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216916009386533 |           12 |       0 |          1 |          235 |     32158
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301351962195002946 |           15 |       0 |          1 |        72658 |   1620999
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216857958911504 |           12 |       0 |          1 |          235 |     31937
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217442527445541 |           12 |       0 |          1 |          235 |     32092
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217609091649040 |           12 |       0 |          1 |          235 |     32007
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216905086108189 |           12 |       0 |          1 |          228 |     31868
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217445731895296 |           15 |       0 |          1 |        55347 |   1584877
